,0
1-364285768,False
1-467153946,False
1-503573772,False
1-504538555,False
1-506071646,False
1-512795200,False
1-516553982,False
1-522528740,False
1-523391859,False
1-529067006,False
1-529096847,False
1-530458987,True
1-530772502,False
1-530838254,False
1-532109338,False
1-536444735,False
1-536481337,False
1-537219938,False
1-540390551,False
1-541468268,False
1-543317665,False
1-543979253,False
1-544969832,False
1-544976636,True
1-550213097,False
1-557297151,False
1-559795575,False
1-565045794,False
1-567358917,False
1-577292898,True
1-578864726,False
1-580893958,True
1-580987781,False
1-583200733,False
1-587101946,False
1-593737913,True
1-594260021,True
1-597436480,True
1-601328051,False
1-603556351,False
1-603749197,False
1-604144478,False
1-605313141,False
1-605956457,False
1-606902814,False
1-609835209,False
1-611261188,False
1-613379581,False
1-614948909,False
1-617858557,False
1-618854217,False
1-619069761,False
1-620611187,False
1-620858291,False
1-621825480,False
1-623778166,False
1-626766981,False
1-627819166,True
1-627973205,False
1-629364071,False
1-629883996,False
1-630181491,False
1-632620937,False
1-634340171,False
1-634738521,True
1-635268712,False
1-635375181,False
1-636928149,False
1-637842042,True
1-638018481,False
1-638289351,False
1-638742591,False
1-638841644,False
1-638945511,False
1-642373523,False
1-642402641,False
1-642411971,False
1-642714990,False
1-642761396,False
1-642781041,False
1-643338463,False
1-643546500,False
1-643684191,False
1-643733486,False
1-644761840,False
1-647788578,False
1-647953636,True
1-648471635,False
1-648654669,False
1-649830550,False
1-649950870,False
1-650013051,False
1-651196130,False
1-651324866,False
1-652256138,False
1-652468131,False
1-652924814,False
1-652947231,False
1-653391886,True
1-654423931,False
1-655021441,False
1-655281402,False
1-656241183,False
1-656373348,False
1-656450664,False
1-657323705,False
1-657893589,False
1-657900377,False
1-658045761,False
1-658345511,False
1-658515933,False
1-658538636,False
1-659129745,False
1-659713703,False
1-660051308,False
1-660218981,False
1-660730501,False
1-660865454,False
1-660915327,False
1-665922195,False
1-673825643,False
1-682281772,False
1-683319231,False
1-683762637,True
1-684012815,False
1-684695843,False
1-685098751,False
1-685155470,False
1-686398767,False
1-686497432,False
1-686580161,True
1-686609791,False
1-686885675,False
1-687082195,True
1-687085471,False
1-687329729,False
1-687521104,True
1-687544011,False
1-687638428,True
1-687647619,False
1-687710013,False
1-688278051,False
1-688624453,True
1-688689511,False
1-688696731,False
1-689206959,False
1-689461262,False
1-689501709,False
1-690238688,False
1-690422411,False
1-690436171,False
1-690839783,False
1-691049627,False
1-691129791,False
1-691759626,False
1-691782323,False
1-691794481,False
1-691811604,False
1-691832279,False
1-691950241,False
1-691971107,False
1-692009261,False
1-692067345,False
1-692755228,False
1-692758611,False
1-692758994,False
1-692918254,False
1-693021183,False
1-693200675,False
1-693253181,False
1-693258975,False
1-693300691,False
1-693352046,False
1-693412654,False
1-693587250,False
1-693822171,False
1-693837467,False
1-694035053,False
1-694236018,False
1-694266600,False
1-694274811,True
1-694300980,False
1-694339964,True
1-694346169,False
1-694375168,False
1-694457714,False
1-694782353,False
1-694796871,True
1-694844381,False
1-694845331,False
1-694868667,False
1-694899341,False
1-694975897,True
1-695147297,True
1-695221831,False
1-695298616,False
1-695360832,False
1-695452478,False
1-695486451,False
1-695870591,False
1-695872361,False
1-696080795,False
1-696101645,False
1-696163170,False
1-696361691,True
1-696484951,False
1-696831586,False
1-696861441,False
1-696882469,False
1-696894381,False
1-696911694,False
1-696915401,False
1-696981592,False
1-697462851,False
1-697478298,False
1-697528961,False
1-697746161,False
1-697751037,False
1-697774726,True
1-697777158,False
1-697896972,False
1-697955020,False
1-698029651,False
1-698029851,False
1-698036851,False
1-698065363,False
1-698350971,False
1-698400941,False
