,0
1-109135791,False
1-147898401,False
1-165554831,False
1-172473423,False
1-182640781,True
1-230541365,True
1-236817141,False
1-270399977,False
1-270427461,False
1-310231291,False
1-316086072,True
1-320604521,False
1-322204195,False
1-322581861,False
1-322980802,False
1-323264491,False
1-323462732,False
1-327329880,False
1-329451027,True
1-329647261,False
1-330634474,False
1-331478885,False
1-332389008,False
1-333164156,False
1-335260940,False
1-337229341,False
1-338946805,True
1-339798202,False
1-339889001,False
1-340984229,True
1-341002175,False
1-342442140,False
1-345132462,False
1-345255471,False
1-347461373,False
1-347923966,False
1-347924629,True
1-349857482,False
1-351187625,True
1-351314317,True
1-351869391,False
1-353818791,True
1-354039443,False
1-354090772,False
1-354350908,True
1-354376900,False
1-356055231,False
1-356879617,False
1-357087417,False
1-357610411,False
1-358038911,False
1-358776870,False
1-359215498,False
1-359781492,False
1-359841262,False
1-360072755,False
1-360464815,False
1-360667704,False
1-361368011,True
1-363041157,False
1-363206822,False
1-363549934,False
1-364018090,False
1-364458525,False
1-364528467,True
1-365052802,True
1-365189372,True
1-365702595,False
1-366462246,False
1-366509892,False
1-366584206,False
1-366698569,False
1-366726662,True
1-366923538,False
1-367002597,True
1-367648732,False
1-367921041,False
1-368322765,True
1-368929048,False
1-369693874,False
1-369989135,False
1-370436092,False
1-370452680,False
1-371498622,False
1-371631962,True
1-371672096,False
1-372029512,False
1-372555278,False
1-372579132,False
1-372858362,True
1-372978779,True
1-373110819,False
1-373268674,False
1-373413519,False
1-373413971,True
1-374379174,True
1-374630866,False
1-374832944,False
1-375337251,False
1-375430388,True
1-375644051,False
1-375646314,False
1-375670011,False
1-376424233,False
1-377083756,True
1-377276064,True
1-377458451,False
1-378050311,False
1-378054711,False
1-378744625,False
1-378976624,False
1-379209685,False
1-379702919,False
1-379789104,False
1-380297615,False
1-380392616,False
1-380527184,False
1-380632889,False
1-380654568,False
1-380885044,False
1-381124870,True
1-382209384,False
1-382442048,False
1-383789251,False
1-384097130,False
1-384757914,False
1-385201933,False
1-385278464,False
1-385311756,False
1-386495623,False
1-386782865,False
1-388028918,False
1-388230583,False
1-388644366,False
1-388724672,False
1-389195082,False
1-390250582,False
1-390722958,True
1-390819078,True
1-392590655,False
1-392812598,True
1-393413330,False
1-396569277,False
1-397446945,False
1-397806545,False
1-399013423,False
1-399628501,False
1-400351079,False
1-400528782,False
1-402212071,False
1-402328919,True
1-402612770,False
1-403006315,False
1-404005175,False
1-404084309,False
1-404736991,False
1-405112616,True
1-405248961,True
1-406010922,False
1-406066421,False
1-406852699,False
1-406875315,False
1-407517548,False
1-407737529,False
1-407876996,True
1-408853759,False
1-409247778,False
1-409309026,False
1-410929705,False
1-411078092,False
1-413205820,False
1-413276708,False
1-413665008,False
1-415000020,False
1-415822336,False
1-415946366,False
1-416247009,True
1-417868043,True
1-418122119,False
1-418890453,False
1-419236954,False
1-419614582,False
1-419783741,False
1-419783822,False
1-422390390,True
1-422418092,False
1-422877530,False
1-423484126,False
1-423648343,False
1-423724447,False
1-423751353,False
1-424022692,False
1-424065923,False
1-424243405,False
1-424668301,False
1-426876102,False
1-426969419,False
1-427498853,False
1-427614010,False
1-427955007,False
1-428252132,False
1-428421057,False
1-429498598,False
1-429979181,True
1-430150814,False
1-430793848,False
1-430836105,False
1-430880486,False
1-431797119,False
1-432419251,False
1-432687815,True
1-433161361,False
1-433309965,False
1-433710534,False
1-433910332,True
1-434419581,True
1-434892089,False
1-435824991,False
1-435825107,False
1-437141508,True
1-438526021,False
1-438897551,True
1-439833168,False
1-439863114,False
1-440576028,False
1-441507371,False
1-442885842,False
1-443175071,True
1-443637654,False
1-448698916,True
1-454389870,True
1-457173714,False
1-467257506,True
1-470328307,False
1-470714850,False
1-473084325,False
1-475885658,False
1-479002951,False
1-489198755,False
1-494629702,False
1-494871141,False
1-495101458,False
1-497807633,False
1-498002861,False
1-498324124,False
1-499289128,False
1-499289256,False
1-499540955,False
1-500208339,False
1-500427383,False
1-501925116,False
1-501969547,False
1-502353485,True
1-502697671,False
1-502769178,False
1-504048859,False
1-504498907,False
1-505194002,False
1-505194015,False
1-505416663,False
1-505443989,True
1-506092586,False
1-506108491,False
1-506236591,False
1-506866218,False
1-507679771,False
1-507774379,False
1-508044897,False
1-508462323,False
1-508825032,False
1-509892697,False
1-509912273,False
1-509915742,False
1-510142147,False
1-510399424,False
1-510423612,False
1-511755003,False
1-511787661,True
1-512617571,True
1-512654811,False
1-513031774,False
1-513032417,False
1-513135755,False
1-513180623,False
1-513395204,False
1-513767190,False
1-513864515,True
1-513910403,False
1-514223574,False
1-514311011,True
1-514618724,True
1-514712116,False
1-514832700,False
1-515461174,True
1-515617964,False
1-515834995,False
1-515873671,False
1-516141293,True
1-516860557,False
1-517002080,False
1-517045062,True
1-517399487,False
1-517490964,False
1-517828743,False
1-518362551,False
1-519020627,False
1-519054737,False
1-519065883,False
1-519085985,False
1-519147007,False
1-519167681,False
1-519386144,False
1-520127960,False
1-520234084,False
1-520705880,False
1-521122392,True
1-521431857,False
1-521555370,False
1-521628291,False
1-522222222,False
1-522460624,False
1-522734472,False
1-522949376,False
1-523027945,False
1-523069229,False
1-523311541,True
1-523361887,False
1-523392191,False
1-523637826,False
1-524169663,False
1-524328647,False
1-524356958,True
1-524375607,False
1-525132931,False
1-525447561,False
1-525477138,False
1-525489753,False
1-525589021,False
1-526037041,False
1-526344555,False
1-526369142,False
1-526414477,False
1-526414833,False
1-526647987,False
1-527208576,False
1-527928641,False
1-528251011,False
1-528332261,False
1-528716762,False
1-528755863,True
1-529091253,False
1-529091311,False
1-529471141,False
1-530147896,False
1-530539767,False
1-530568802,False
1-531435394,False
1-531872604,True
1-532038065,True
1-532084405,True
1-532544114,False
1-532816930,True
1-533449912,False
1-533851634,True
1-534020390,True
1-534493180,False
1-534702904,False
1-535052125,False
1-535233659,False
1-535393553,False
1-535418135,False
1-535439201,False
1-535813109,False
1-535813203,False
1-535813236,False
1-535813278,False
1-535813300,False
1-535813432,False
1-535813517,True
1-535813813,False
1-536299706,False
1-536904633,False
1-537169872,False
1-537311033,False
1-537601770,False
1-537902763,False
1-537984625,False
1-538109148,False
1-538226806,False
1-538297321,False
1-538411483,False
1-538467021,False
1-539000895,False
1-539083171,False
1-539633138,True
1-539752329,True
1-539805130,True
1-540408651,False
1-540500545,False
1-540531611,True
1-540549141,False
1-540549178,True
1-540549229,True
1-540631861,False
1-540723633,False
1-540904745,False
1-540947390,False
1-541028557,False
1-541088014,True
1-541565290,True
1-541566505,False
1-541655216,True
1-541686305,False
1-542027112,False
1-542568265,False
1-542919207,False
1-542940765,False
1-543227320,False
1-543300099,False
1-543653631,True
1-544020953,False
1-544200884,False
1-544527205,False
1-544595401,False
1-544876956,False
1-545370610,False
1-545738536,False
1-545911672,False
1-546272906,False
1-546692981,True
1-546693092,True
1-546838031,True
1-547539001,False
1-547617088,False
1-547802271,False
1-548188531,False
1-548188557,False
1-548188833,False
1-549431982,False
1-550036329,False
1-550159631,False
1-550577363,False
1-550611848,False
1-553276916,True
1-555105571,False
1-557618809,False
1-557739965,False
1-560246371,False
1-560404489,False
1-560418897,False
1-560419045,False
1-560504546,False
1-560703011,False
1-561068081,False
1-561190012,False
1-562022682,False
1-562778111,True
1-562807927,True
1-563156866,False
1-563156881,False
1-563477371,True
1-563779807,False
1-564311006,True
1-564433915,False
1-564528496,False
1-564738994,False
1-564903210,False
1-565030154,True
1-565319816,True
1-565807612,True
1-565905115,False
1-566003511,False
1-566096602,False
1-566101203,True
1-566332021,True
1-566642468,True
1-566661201,True
1-567100387,True
1-567362335,True
1-567440922,False
1-567718361,False
1-567958551,False
1-567981735,False
1-572078531,False
1-572330175,False
1-572625937,True
1-572730349,False
1-572802327,False
1-573215995,False
1-573278049,False
1-573280988,False
1-573316263,True
1-573501251,False
1-573639367,False
1-573655864,False
1-573830584,False
1-573904126,False
1-574045461,True
1-574052419,False
1-574132549,False
1-574162627,False
1-574222268,False
1-574271413,False
1-574466092,False
1-574623837,False
1-574663931,True
1-575690736,False
1-576186189,False
1-576423636,False
1-576667260,False
1-576807766,True
1-576881364,True
1-576934735,False
1-576984464,False
1-577196856,True
1-577236636,False
1-577288653,False
1-577396354,True
1-577685618,False
1-577737791,False
1-577834779,False
1-577996886,False
1-578105842,False
1-578252937,False
1-578579972,False
1-578598959,False
1-578612825,False
1-578612990,False
1-578686199,False
1-578831063,False
1-579078207,False
1-579211624,True
1-579250167,False
1-579369463,False
1-579425746,True
1-579425846,False
1-579517011,False
1-579636429,True
1-580296643,False
1-580325905,True
1-580358285,False
1-580385263,False
1-580464971,False
1-580981634,False
1-581652169,False
1-581740771,False
1-581815727,False
1-581898739,False
1-582296121,False
1-582401721,False
1-583171096,False
1-583931536,False
1-583944596,False
1-584047671,False
1-584612205,False
1-584754762,False
1-584776062,True
1-584812041,False
1-584828902,True
1-584861543,False
1-584938329,True
1-585459725,True
1-585467875,False
1-585469859,False
1-585714932,False
1-586382001,False
1-586382068,False
1-586562664,False
1-587038802,False
1-587058585,False
1-587337285,False
1-587337305,False
1-587383007,True
1-588543315,False
1-588566574,False
1-588712865,False
1-589099869,False
1-589370341,False
1-589421537,False
1-589962550,False
1-589999547,False
1-590262446,False
1-590574771,True
1-590579544,False
1-591301260,False
1-591508928,False
1-591627183,True
1-591627239,True
1-592064699,True
1-592390567,False
1-593022132,False
1-593022224,True
1-593032661,False
1-593312167,False
1-593431551,False
1-593751721,False
1-593933571,False
1-594093101,True
1-594472343,False
1-594666837,True
1-594673056,False
1-594693527,False
1-595293983,False
1-595361681,False
1-595687232,False
1-596251950,False
1-596286562,False
1-596290771,True
1-596331167,False
1-596580941,True
1-596608752,False
1-596676011,False
1-596815491,False
1-597231167,False
1-597285812,False
1-597580752,False
1-597616526,False
1-598583993,True
1-599074651,True
1-599157751,False
1-599157997,True
1-599158067,False
1-599352141,False
1-599517681,False
1-599586617,False
1-599626401,False
1-600432558,False
1-600506847,False
1-600663061,False
1-600873076,False
1-601289432,False
1-601400851,False
1-601433623,False
1-601636752,False
1-601819090,True
1-602316021,True
1-602316067,True
1-602316153,False
1-602316201,True
1-602316215,False
1-602316249,False
1-602396115,False
1-602464818,False
1-602870173,False
1-603537274,True
1-603563148,True
1-603708003,False
1-603798757,False
1-604432843,True
1-604432860,False
1-604432887,True
1-604604928,False
1-604645912,True
1-604646378,True
1-604882241,True
1-605029866,False
1-605034229,False
1-605184371,False
1-605279637,False
1-605728578,False
1-606068287,False
1-606441115,False
1-606724483,True
1-606829317,False
1-606971198,False
1-607158761,False
1-607520800,True
1-607840637,False
1-607934151,True
1-608010054,False
1-608036754,False
1-608735919,True
1-609011164,False
1-609700424,False
1-611506787,False
1-611582327,False
1-611582394,False
1-611605221,True
1-611632212,False
1-611637278,False
1-611651603,False
1-612515539,True
1-613033122,False
1-613364032,False
1-613412559,False
1-613496066,False
1-613740745,False
1-614378697,False
1-614378787,False
1-614451236,True
1-615224713,False
1-615905511,True
1-616014042,False
1-616211466,False
1-616288482,False
1-616409083,False
1-616977258,True
1-616993936,True
1-617042441,False
1-617049384,False
1-617084616,False
1-617356985,False
1-617389027,False
1-617470131,False
1-617696569,False
1-618041243,False
1-618041343,False
1-618116069,True
1-618143224,False
1-618170625,False
1-618171180,False
1-618283927,False
1-618350811,False
1-618589528,False
1-618620384,True
1-618764275,False
1-618859631,False
1-618883006,True
1-619053302,True
1-619067777,True
1-619087129,False
1-619109941,False
1-619146141,True
1-619175501,False
1-619201265,False
1-619232031,False
1-619254483,True
1-619550849,False
1-619575181,False
1-619589599,False
1-619684455,False
1-619699161,False
1-619719949,False
1-619767065,True
1-619857642,True
1-620015297,False
1-620074564,True
1-620430705,False
1-620432583,False
1-620483711,True
1-620572095,False
1-620584677,False
1-620656965,True
1-620705595,False
1-620857518,False
1-620925267,False
1-621023087,False
1-621039603,False
1-621061021,False
1-621311061,False
1-621322866,True
1-621369891,False
1-621393223,False
1-621571462,False
1-622154016,True
1-622156083,True
1-622295317,True
1-622618613,False
1-622630582,False
1-622652886,False
1-622783644,False
1-622806196,False
1-622847448,False
1-622856843,False
1-622874191,False
1-622884303,False
1-622940906,False
1-623152702,False
1-623336818,False
1-623354971,False
1-623520821,False
1-623521280,True
1-623626713,True
1-623792185,False
1-623859845,False
1-623873811,False
1-624009613,False
1-624219528,False
1-624305845,False
1-624403918,False
1-624450715,False
1-624711258,False
1-624745314,False
1-624845426,False
1-625322174,True
1-625459293,True
1-625628532,True
1-625634702,False
1-625634824,False
1-625634936,False
1-625646775,False
1-626102521,False
1-626212681,False
1-626292231,False
1-626462354,False
1-626510640,False
1-626515794,False
1-626760391,False
1-626834451,True
1-627163101,False
1-627190551,False
1-627336700,False
1-627337013,False
1-627532005,False
1-627557462,False
1-627630611,False
1-627878397,False
1-627936524,False
1-627980711,False
1-628078553,False
1-628105478,False
1-628203323,False
1-628222366,False
1-628255780,False
1-628669941,False
1-628704675,False
1-629618537,False
1-629629428,True
1-629642635,True
1-629991273,False
1-630156753,False
1-630493188,False
1-631001113,True
1-631117870,False
1-631509503,False
1-632486751,False
1-633036453,False
1-633092732,False
1-633184307,False
1-634447637,False
1-634479154,False
1-634487640,False
1-634506651,False
1-634533656,False
1-635351501,False
1-635382525,False
1-635404161,False
1-636080278,False
1-636102195,False
1-636501102,False
1-636789520,False
1-636849620,False
1-636852199,False
1-636867758,False
1-636931254,True
1-637035141,False
1-637059802,True
1-637089310,False
1-637142120,False
1-637222863,False
1-637283508,False
1-637307494,False
1-637327254,True
1-637516103,False
1-637580967,True
1-637591141,False
1-637685994,False
1-637713545,False
1-637713651,False
1-637716645,False
1-637893062,False
1-637954950,False
1-638034021,False
1-638041299,False
1-638091067,False
1-638112911,False
1-638653931,False
1-638961317,False
1-638962731,False
1-639009338,False
1-639028876,False
1-639870000,False
1-639881579,False
1-639930880,False
1-639942581,False
1-640059801,False
1-640093069,False
1-640254885,False
1-640263496,True
1-640387614,False
1-641023492,False
1-641044311,False
1-641083751,True
1-641083987,False
1-641100891,False
1-641104060,False
1-641157962,False
1-641232069,False
1-641243011,False
1-641306231,False
1-641323677,True
1-641491883,False
1-641530471,False
1-642418588,False
1-642478708,False
1-642579219,False
1-642761240,False
1-642766943,False
1-642802641,False
1-642846054,False
1-643444986,False
1-643445547,True
1-643468705,False
1-643532122,False
